archive_path,exists_locally,size_bytes,sha256,upload_status
simulation/tasks/work-2/M50O0D1/output.dcd,True,4767120276,,not_started
simulation/tasks/work-2/M50O0D1/system.xml,True,35514930,,not_started
simulation/tasks/work-2/M50O0D1/molecule_map.tsv,True,2181,,not_started
simulation/tasks/work-2/M50O0D1/run_metadata.json,True,1462,,not_started
simulation/tasks/work-2/M50O0D1/DONE,True,39,,not_started
simulation/tasks/work-2/M10O90-S2/start.pdb,True,3905014,,not_started
simulation/tasks/work-2/M10O90-S2/output.dcd,True,2892720276,,not_started
simulation/tasks/work-2/M10O90-S2/system.xml,True,22860215,,not_started
simulation/tasks/work-2/M10O90-S2/molecule_map.tsv,True,4055,,not_started
simulation/tasks/work-2/M10O90-S2/run_metadata.json,True,1482,,not_started
simulation/tasks/work-2/M10O90-S2/DONE,True,41,,not_started
simulation/tasks/work-2/M10O90D1-S2/start.pdb,True,3937414,,not_started
simulation/tasks/work-2/M10O90D1-S2/output.dcd,True,2916720276,,not_started
simulation/tasks/work-2/M10O90D1-S2/system.xml,True,23313673,,not_started
simulation/tasks/work-2/M10O90D1-S2/molecule_map.tsv,True,4088,,not_started
simulation/tasks/work-2/M10O90D1-S2/run_metadata.json,True,1488,,not_started
simulation/tasks/work-2/M10O90D1-S2/DONE,True,43,,not_started
simulation/tasks/work-2/M10O90-S4/start.pdb,True,3905014,,not_started
simulation/tasks/work-2/M10O90-S4/output.dcd,True,2892720276,,not_started
simulation/tasks/work-2/M10O90-S4/system.xml,True,22497873,,not_started
simulation/tasks/work-2/M10O90-S4/molecule_map.tsv,True,4869,,not_started
simulation/tasks/work-2/M10O90-S4/run_metadata.json,True,1513,,not_started
simulation/tasks/work-2/M10O90-S4/DONE,True,41,,not_started
simulation/tasks/work-2/M10O90D1-S4/start.pdb,True,3937414,,not_started
simulation/tasks/work-2/M10O90D1-S4/output.dcd,True,2916720276,,not_started
simulation/tasks/work-2/M10O90D1-S4/system.xml,True,22951331,,not_started
simulation/tasks/work-2/M10O90D1-S4/molecule_map.tsv,True,4902,,not_started
simulation/tasks/work-2/M10O90D1-S4/run_metadata.json,True,1519,,not_started
simulation/tasks/work-2/M10O90D1-S4/DONE,True,43,,not_started
simulation/tasks/work/M25O75/start.pdb,True,5388529,,not_started
simulation/tasks/work/M25O75/output.dcd,True,3991620276,,not_started
simulation/tasks/work/M25O75/system.xml,True,30763943,,not_started
simulation/tasks/work/M25O75/molecule_map.tsv,True,3748,,not_started
simulation/tasks/work/M25O75/run_metadata.json,True,1452,,not_started
simulation/tasks/work/M25O75/DONE,True,36,,not_started
simulation/tasks/work/M50O50/start.pdb,True,7861054,,not_started
simulation/tasks/work/M50O50/output.dcd,True,5823120276,,not_started
simulation/tasks/work/M50O50/system.xml,True,43934746,,not_started
simulation/tasks/work/M50O50/molecule_map.tsv,True,3898,,not_started
simulation/tasks/work/M50O50/run_metadata.json,True,1453,,not_started
simulation/tasks/work/M50O50/DONE,True,36,,not_started
simulation/tasks/work-1/M25O75/start.pdb,True,5388529,,not_started
simulation/tasks/work-1/M25O75/output.dcd,True,3991620276,,not_started
simulation/tasks/work-1/M25O75/system.xml,True,30763943,,not_started
simulation/tasks/work-1/M25O75/molecule_map.tsv,True,3748,,not_started
simulation/tasks/work-1/M25O75/run_metadata.json,True,1456,,not_started
simulation/tasks/work-1/M25O75/DONE,True,38,,not_started
simulation/tasks/work-1/M50O50/start.pdb,True,7861054,,not_started
simulation/tasks/work-1/M50O50/output.dcd,True,5823120276,,not_started
simulation/tasks/work-1/M50O50/system.xml,True,43934746,,not_started
simulation/tasks/work-1/M50O50/molecule_map.tsv,True,3898,,not_started
simulation/tasks/work-1/M50O50/run_metadata.json,True,1457,,not_started
simulation/tasks/work-1/M50O50/DONE,True,38,,not_started
simulation/tasks/work-2/M25O75/start.pdb,True,5388529,,not_started
simulation/tasks/work-2/M25O75/output.dcd,True,3991620276,,not_started
simulation/tasks/work-2/M25O75/system.xml,True,30763943,,not_started
simulation/tasks/work-2/M25O75/molecule_map.tsv,True,3748,,not_started
simulation/tasks/work-2/M25O75/run_metadata.json,True,1456,,not_started
simulation/tasks/work-2/M25O75/DONE,True,38,,not_started
simulation/tasks/work-2/M50O50/start.pdb,True,7861054,,not_started
simulation/tasks/work-2/M50O50/output.dcd,True,5823120276,,not_started
simulation/tasks/work-2/M50O50/system.xml,True,43934746,,not_started
simulation/tasks/work-2/M50O50/molecule_map.tsv,True,3898,,not_started
simulation/tasks/work-2/M50O50/run_metadata.json,True,1742,,not_started
simulation/tasks/work-2/M50O50/DONE,True,81,,not_started
data/dna_only/work/D1/start.pdb,True,32404,,not_started
data/dna_only/work/D1/output.dcd,True,24120276,,not_started
data/dna_only/work/D1/system.xml,True,466327,,not_started
data/dna_only/work-1/D1/start.pdb,True,32404,,not_started
data/dna_only/work-1/D1/output.dcd,True,24120276,,not_started
data/dna_only/work-1/D1/system.xml,True,466327,,not_started
data/dna_only/work-2/D1/start.pdb,True,32404,,not_started
data/dna_only/work-2/D1/output.dcd,True,24120276,,not_started
data/dna_only/work-2/D1/system.xml,True,466327,,not_started
